Date,1615.T,1617.T,1618.T,1619.T,1620.T,1621.T,1622.T,1623.T,1624.T,1625.T
2008-09-22,164.1731719970703,12966.8193359375,10554.3330078125,8408.3876953125,10088.1689453125,10047.7626953125,10035.4658203125,17006.623046875,14753.619140625,10480.8876953125
2008-09-24,166.02212524414062,13193.1064453125,10395.037109375,8362.5830078125,10098.3876953125,10303.05859375,9943.8583984375,17054.07421875,14551.8525390625,10364.8388671875
2008-09-25,166.37083435058594,13178.0087890625,10101.064453125,8297.078125,10130.0009765625,10409.3701171875,9835.1025390625,16998.275390625,14478.2333984375,10344.48828125
2008-09-26,167.84474182128906,13137.4228515625,9989.55078125,8249.8173828125,9965.28125,10566.83203125,9839.44140625,16370.4345703125,14132.9580078125,10200.724609375
2008-09-29,166.4037322998047,13190.1806640625,9606.0224609375,8064.51611328125,9762.451171875,10454.2744140625,9475.4375,15754.6953125,13705.31640625,10069.7822265625
2008-09-30,158.5605926513672,12858.220703125,9243.9482421875,7883.90087890625,9478.568359375,10053.189453125,9170.7255859375,15058.6455078125,13402.9375,9621.1767578125
2008-10-01,163.0743408203125,13100.9892578125,9325.8447265625,7900.87939453125,9454.6416015625,10413.3837890625,9237.466796875,14953.8232421875,13290.984375,9763.9873046875
2008-10-02,159.44229125976562,13071.6455078125,8767.390625,7633.0927734375,9206.095703125,10528.3212890625,8842.837890625,13873.3466796875,12425.4404296875,9501.1455078125
2008-10-03,157.03408813476562,13008.87109375,8353.484375,7396.4111328125,8937.7421875,10552.8544921875,8384.5830078125,13419.5615234375,11823.9453125,9178.8095703125
2008-10-06,145.81549072265625,12537.2744140625,8133.17578125,6940.15380859375,8564.2509765625,10436.5078125,8000.99853515625,12488.9951171875,11015.4375,8751.6826171875
2008-10-07,143.90733337402344,12257.3818359375,7876.16455078125,6815.7314453125,8425.517578125,9975.353515625,7663.8291015625,12491.3583984375,10908.4326171875,8460.3486328125
2008-10-08,135.0508575439453,11392.28515625,7201.0048828125,6215.7919921875,7606.90869140625,9181.8837890625,6860.8154296875,10991.6533203125,9751.6044921875,7645.5859375
2008-10-09,139.3540802001953,11213.9814453125,7235.17919921875,6239.548828125,7647.0,8844.80859375,7001.41552734375,11324.154296875,10077.4130859375,7809.00830078125
2008-10-10,127.21427154541016,10262.93359375,6766.8466796875,5810.46923828125,7167.89306640625,7864.88525390625,6589.3046875,10592.822265625,9721.5654296875,7341.86865234375
2008-10-14,146.4405517578125,11295.4716796875,7692.43896484375,6672.4931640625,8134.662109375,8668.392578125,7646.279296875,12656.94140625,11286.2578125,8364.044921875
2008-10-15,147.02615356445312,11714.9248046875,7493.07958984375,6639.931640625,8158.74853515625,9046.0556640625,7460.75439453125,12066.5009765625,11179.6328125,8194.564453125
2008-10-16,130.96478271484375,10782.666015625,6510.97265625,5894.47509765625,7474.91064453125,8220.91796875,6786.078125,10686.5068359375,9863.857421875,7245.56640625
2008-10-17,134.6363525390625,11360.0126953125,6654.50927734375,6171.32080078125,7799.12109375,8479.1123046875,7004.80419921875,11039.947265625,10014.3662109375,7425.7001953125
2008-10-20,138.48556518554688,11629.2783203125,7007.4697265625,6334.64013671875,8151.14208984375,8894.9912109375,7335.671875,11539.7275390625,10221.607421875,7734.0087890625
2008-10-21,143.94021606445312,11484.3251953125,7570.0380859375,6571.1943359375,8287.8935546875,9125.529296875,7685.31005859375,11997.1435546875,10486.49609375,8019.27978515625
