Date,1,2,3,4,5,6,7,8,9,10,11,12
1938-08-01,-4.03,5.98,-3.12,-8.85,0.22,-0.83,0.28,-5.53,-2.42,0.36,-4.09,-3.63
1938-09-01,0.52,0.69,1.28,0.83,2.5,1.46,0.92,1.25,0.06,0.0,0.04,-1.63
1938-10-01,5.15,6.49,12.13,-1.41,7.17,11.12,3.56,21.09,8.19,5.62,9.48,11.59
1938-11-01,-2.5,-1.21,-1.83,-0.16,-0.62,-4.97,0.65,-7.02,-0.43,1.43,-1.48,-2.21
1938-12-01,2.78,2.13,5.7,4.94,5.21,3.04,2.58,3.95,0.92,0.86,-0.75,8.15
1939-01-01,-1.92,-8.34,-11.14,-6.31,-5.81,-7.78,1.81,1.21,-3.14,-0.96,-6.06,-9.52
1939-02-01,2.47,7.1,4.0,-1.18,1.11,3.46,3.53,8.79,6.21,3.73,4.23,4.82
1939-03-01,-5.78,-17.64,-19.3,-8.35,-7.64,-17.02,-2.31,-13.66,-9.61,-4.36,-12.02,-16.03
1939-04-01,0.6,0.72,-1.9,-1.06,-1.33,-1.14,2.75,3.03,-0.13,1.0,-3.36,-1.28
1939-05-01,5.49,7.92,8.92,2.58,6.2,7.15,5.56,6.6,11.4,5.5,8.8,7.78
1939-06-01,-2.06,-6.78,-8.71,-5.96,-2.33,-8.8,-3.84,-3.55,-2.71,1.08,-5.37,-8.25
1939-07-01,6.23,17.58,14.38,2.95,10.08,15.38,6.51,12.72,8.72,3.08,11.12,12.47
1939-08-01,-7.39,-6.96,-9.12,-3.91,-2.68,-9.1,-4.19,-6.04,-7.36,-5.46,-9.32,-9.97
1939-09-01,4.78,23.73,32.39,25.57,15.69,16.0,2.36,3.6,1.6,7.06,12.37,29.99
1939-10-01,3.26,-1.4,-2.31,-3.93,-2.42,-1.81,3.05,2.12,5.78,0.22,-0.13,-2.0
1939-11-01,-0.47,-2.96,-7.73,-6.19,-2.4,-3.39,0.97,-1.5,-2.34,1.22,-0.47,-6.39
1939-12-01,3.18,3.88,3.48,-0.09,4.6,3.92,2.89,2.95,3.05,3.77,-1.87,2.3
1940-01-01,1.69,-3.83,-6.24,-2.19,-1.96,-4.27,-0.12,-0.05,-0.95,-1.79,0.36,-3.63
1940-02-01,0.94,2.06,2.32,0.96,2.53,0.4,1.04,-1.25,2.51,1.49,0.34,1.02
1940-03-01,1.66,3.78,1.14,1.72,2.12,3.39,1.16,1.75,3.1,1.91,2.58,2.66
1940-04-01,1.75,-0.54,0.84,0.17,0.85,-2.38,0.33,-1.34,-0.13,-0.31,-0.8,-0.72
1940-05-01,-20.95,-26.19,-23.76,-24.66,-19.58,-21.22,-14.13,-20.01,-24.47,-21.27,-26.49,-23.41
1940-06-01,5.4,8.68,3.4,5.69,4.65,4.47,8.76,17.47,9.03,4.93,5.77,9.2
1940-07-01,-0.02,5.92,4.98,3.2,3.15,5.68,1.97,0.08,4.39,-0.52,4.71,3.03
1940-08-01,1.34,7.53,3.21,1.43,1.79,2.73,-0.36,-1.05,2.9,-2.29,2.42,3.01
1940-09-01,2.53,3.17,4.62,-2.27,3.35,4.43,1.67,-2.19,3.33,4.62,-0.45,3.23
1940-10-01,-1.42,3.94,7.95,6.31,-1.71,2.28,1.61,3.83,0.08,-3.0,6.35,5.03
1940-11-01,-1.0,-0.74,0.71,0.8,-4.64,-4.13,0.6,-13.11,-2.21,-1.86,0.26,-0.24
1940-12-01,0.54,-3.29,0.5,2.35,2.05,0.34,2.05,1.77,0.42,-0.23,-3.22,1.13
1941-01-01,-0.52,-9.22,-7.41,-2.14,-6.33,-2.24,-2.1,-2.18,-3.64,-2.19,-1.24,-1.7
1941-02-01,-2.5,1.28,-1.6,-0.69,-2.66,-0.26,-2.23,-1.19,-2.54,-4.71,-0.61,-0.25
1941-03-01,0.56,-1.7,0.15,3.75,2.04,-0.22,1.77,-3.34,1.21,1.78,0.06,2.24
1941-04-01,-4.13,-10.57,-6.98,1.41,-3.83,-8.85,-6.35,-9.63,-5.25,-5.22,-7.44,-3.71
1941-05-01,-1.41,0.34,3.75,5.45,3.09,-0.24,0.4,-4.47,2.27,-1.47,-2.23,-0.62
1941-06-01,6.29,3.9,6.17,5.22,7.45,10.57,5.03,3.9,5.09,6.72,4.14,4.62
1941-07-01,5.54,3.97,7.86,11.06,5.67,1.35,-0.38,5.33,4.74,8.04,7.56,7.51
1941-08-01,0.83,2.4,-0.79,-3.45,-0.36,0.85,1.06,-2.05,2.39,0.08,0.3,0.16
1941-09-01,1.78,4.14,-3.14,-0.66,-2.02,-1.53,0.25,-2.85,0.43,-0.21,0.52,-3.3
1941-10-01,-7.06,-7.98,-6.75,2.19,-5.98,-10.76,-2.72,-9.73,-5.2,-3.72,-6.03,-3.7
1941-11-01,-3.19,-3.71,-2.31,3.14,0.06,-2.34,-4.03,-6.73,-4.56,-2.96,-2.46,-1.33
1941-12-01,-3.95,-11.81,1.52,-11.12,0.13,-0.74,-8.63,-7.51,-9.84,-1.6,-7.36,-4.9
1942-01-01,2.54,6.25,1.3,-1.63,-7.71,2.01,-1.37,4.05,0.65,-3.02,5.79,10.41
1942-02-01,-5.5,5.2,-0.86,-5.85,-4.97,-2.54,-0.57,-2.48,-1.93,-5.41,0.23,-2.32
1942-03-01,-8.29,1.42,-4.67,-8.25,-7.56,-5.59,-6.95,-12.2,-7.09,-5.54,-6.25,-9.62
1942-04-01,-4.09,-4.37,-6.36,-3.58,-1.38,-3.39,-7.32,-3.46,-5.9,-4.44,-1.29,-2.12
1942-05-01,8.78,10.06,0.71,6.82,4.15,7.72,7.72,8.39,11.82,14.78,8.05,2.42
1942-06-01,3.52,1.76,3.05,4.43,4.78,3.76,-2.31,1.66,2.53,2.85,1.75,1.94
1942-07-01,2.42,2.09,3.5,6.06,1.43,1.91,4.48,-0.47,4.96,1.6,5.46,6.84
1942-08-01,0.8,2.35,1.22,3.55,0.97,1.83,2.49,0.81,1.72,2.44,1.86,2.55
1942-09-01,-0.06,2.6,2.87,2.37,4.37,4.59,2.07,5.86,0.67,0.26,2.21,3.64
1942-10-01,4.51,5.82,6.56,9.62,6.59,7.04,6.19,15.19,0.6,4.14,9.26,8.83
1942-11-01,2.7,-0.19,-3.74,0.91,0.44,1.48,2.63,-1.32,6.67,1.58,2.76,-3.19
1942-12-01,4.74,8.19,5.21,7.53,5.37,6.49,0.35,4.36,2.75,8.71,5.27,4.29
1943-01-01,9.15,5.24,8.3,6.4,4.71,10.9,3.78,14.73,6.93,2.47,6.67,7.17
1943-02-01,3.62,7.59,6.21,7.93,2.9,4.68,8.81,7.96,3.09,3.65,9.22,9.53
1943-03-01,4.37,5.07,8.32,7.02,2.44,7.46,0.64,4.7,8.72,4.57,9.67,10.25
1943-04-01,1.04,0.53,-1.78,0.97,-0.62,1.26,4.16,4.03,1.88,1.4,1.53,2.34
1943-05-01,6.57,6.6,4.67,5.7,6.49,6.55,4.57,4.55,7.52,5.99,8.51,4.92
1943-06-01,2.06,4.85,1.15,1.19,0.18,3.13,2.28,4.2,5.6,-0.66,0.1,-1.01
1943-07-01,-1.88,-9.7,-7.01,-2.86,-6.07,-8.14,-0.18,-0.5,-3.15,-3.32,-4.3,-5.43
1943-08-01,0.94,3.48,0.49,1.09,0.63,1.06,0.91,1.84,3.76,0.26,1.05,1.49
1943-09-01,2.18,1.69,2.74,1.4,2.7,5.37,1.45,3.87,2.16,4.02,1.64,2.31
1943-10-01,-0.27,-1.12,-0.16,-2.05,-2.06,-3.67,0.73,0.57,-2.41,0.59,-0.92,-1.12
1943-11-01,-4.58,-5.33,-7.47,-6.97,-4.66,-6.63,-1.74,-8.4,-4.52,-3.94,-7.21,-8.24
1943-12-01,6.15,7.95,7.62,7.36,3.39,8.04,3.15,7.43,6.93,3.95,8.31,6.88
1944-01-01,3.97,1.02,2.57,0.47,0.62,0.84,0.86,-0.32,0.78,0.29,1.05,5.35
1944-02-01,-0.53,3.71,0.09,0.11,-1.0,-2.65,0.88,1.51,1.06,-2.65,0.22,2.49
1944-03-01,2.83,4.77,2.29,1.87,2.32,3.87,0.74,1.78,2.28,2.46,3.57,2.44
1944-04-01,-1.95,-1.18,-2.4,-1.37,-1.77,-1.29,-0.57,-0.88,-1.0,-2.37,-3.02,-2.33
1944-05-01,5.34,7.94,6.25,4.99,4.35,3.49,2.81,2.78,5.08,5.68,3.75,4.4
1944-06-01,5.65,9.32,7.93,0.54,5.44,8.09,3.27,4.92,5.84,3.85,8.35,5.44
1944-07-01,-0.35,-4.93,-1.86,-1.22,-2.17,-1.72,-0.37,0.2,-0.08,-1.24,-1.46,-0.62
1944-08-01,2.56,3.98,2.9,-1.95,0.7,2.18,0.67,3.66,3.13,0.76,1.95,0.0
1944-09-01,-0.22,0.61,0.65,-1.38,0.27,-0.65,0.28,-1.52,1.82,0.43,-0.08,0.16
1944-10-01,-0.03,-2.74,-0.57,1.87,0.4,0.52,0.76,1.34,0.44,1.09,-0.2,0.88
1944-11-01,1.26,2.24,1.7,2.64,-0.67,1.73,0.69,-0.4,2.79,0.52,0.69,5.16
1944-12-01,2.03,3.97,5.52,5.15,2.19,4.48,0.71,3.12,2.15,1.71,2.72,9.77
1945-01-01,2.63,1.37,2.76,4.92,2.33,1.04,-2.12,5.69,0.07,0.56,3.65,-0.03
1945-02-01,3.95,7.66,7.55,7.32,5.41,7.24,2.84,6.12,4.53,4.24,7.43,8.0
1945-03-01,-3.0,-6.03,-5.21,-5.25,-3.66,-4.19,-0.11,-3.11,-1.37,-1.83,-3.89,-3.53
1945-04-01,7.08,11.16,8.63,6.9,7.61,8.63,2.51,10.12,7.16,6.33,6.16,9.44
1945-05-01,2.34,0.79,0.85,-0.86,0.56,2.27,3.76,1.89,6.28,4.12,0.92,3.57
